"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>11/04/2017</nobr>","<nobr>14:52:06</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>06/04/2017</nobr>","<nobr>20:01:56</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>06/04/2017</nobr>","<nobr>19:54:34</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>05/04/2017</nobr>","<nobr>21:09:45</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>05/04/2017</nobr>","<nobr>21:01:28</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>05/04/2017</nobr>","<nobr>18:35:59</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>05/04/2017</nobr>","<nobr>18:32:47</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>05/04/2017</nobr>","<nobr>17:52:40</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>05/04/2017</nobr>","<nobr>11:28:46</nobr>","<nobr>24</nobr>","<nobr>Stazione Autocorriere</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>05/04/2017</nobr>","<nobr>11:25:37</nobr>","<nobr>12</nobr>","<nobr>Piazza di Centa</nobr>","","",""
"<nobr>04/04/2017</nobr>","<nobr>14:59:34</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>04/04/2017</nobr>","<nobr>14:54:31</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>03/04/2017</nobr>","<nobr>18:19:26</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>03/04/2017</nobr>","<nobr>18:15:02</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
